,target,ga_prediction
-1.0,-78.0,-74
-0.9797979797979798,-74.44335118484608,-74
-0.9595959595959596,-71.07985484360009,-71
-0.9393939393939394,-67.89980087845292,-68
-0.9191919191919192,-64.89388673655354,-65
-0.898989898989899,-62.05320731526615,-62
-0.8787878787878788,-59.36924486742729,-59
-0.8585858585858586,-56.833858906603055,-57
-0.8383838383838383,-54.43927611234621,-54
-0.8181818181818181,-52.17808023545336,-52
-0.797979797979798,-50.04320200322214,-50
-0.7777777777777778,-48.02790902470829,-48
-0.7575757575757576,-46.125795695982916,-47
-0.7373737373737373,-44.33077310538957,-44
-0.7171717171717171,-42.63705893880142,-43
-0.696969696969697,-41.03916738487844,-41
-0.6767676767676767,-39.53189904032454,-40
-0.6565656565656566,-38.110330815144735,-38
-0.6363636363636364,-36.769805837902275,-37
-0.6161616161616161,-35.50592336097585,-36
-0.5959595959595959,-34.314528665816695,-34
-0.5757575757575757,-33.19170296820578,-33
-0.5555555555555556,-32.13375332351099,-32
-0.5353535353535352,-31.137202531944173,-31
-0.5151515151515151,-30.19877904381847,-30
-0.4949494949494949,-29.315406864805304,-29
-0.4747474747474747,-28.484195461191646,-28
-0.4545454545454545,-27.702429665137128,-28
-0.43434343434343425,-26.967559579931205,-27
-0.41414141414141414,-26.277190485250312,-26
-0.3939393939393939,-25.62907274241503,-26
-0.3737373737373737,-25.021091699647236,-25
-0.3535353535353535,-24.451257597327253,-24
-0.33333333333333326,-23.917695473251026,-24
-0.31313131313131304,-23.418635067887262,-23
-0.2929292929292928,-22.952400729634594,-23
-0.2727272727272727,-22.517401320078733,-23
-0.2525252525252525,-22.11212011924963,-22
-0.23232323232323226,-21.735104730878636,-22
-0.21212121212121204,-21.38495698765565,-21
-0.19191919191919182,-21.06032285648628,-21
-0.1717171717171716,-20.75988234374901,-21
-0.1515151515151515,-20.482339400552334,-20
-0.13131313131313127,-20.226411827991935,-20
-0.11111111111111105,-19.99082118240783,-20
-0.09090909090909083,-19.774282680641534,-20
-0.07070707070707061,-19.575495105293214,-20
-0.050505050505050386,-19.39313070997884,-19
-0.030303030303030276,-19.225825124587352,-19
-0.010101010101010055,-19.07216726053781,-19
0.010101010101010166,-18.93068921603656,-19
0.030303030303030498,-18.799856181334373,-19
0.05050505050505061,-18.678056343983627,-19
0.07070707070707072,-18.563590794095436,-19
0.09090909090909105,-18.454663429596835,-18
0.11111111111111116,-18.349370861487916,-18
0.1313131313131315,-18.245692319098993,-18
0.1515151515151516,-18.141479555347765,-18
0.1717171717171717,-18.03444675199645,-18
0.19191919191919204,-17.922160424908984,-18
0.21212121212121215,-17.802029329308127,-18
0.2323232323232325,-17.67129436503266,-18
0.2525252525252526,-17.527018481794528,-18
0.27272727272727293,-17.366076584435984,-17
0.29292929292929304,-17.185145438186776,-17
0.31313131313131315,-16.980693573921272,-17
0.3333333333333335,-16.748971193415635,-17
0.3535353535353536,-16.486000074604988,-16
0.3737373737373739,-16.187563476840534,-16
0.39393939393939403,-15.84919604614677,-16
0.41414141414141437,-15.466173720478583,-15
0.4343434343434345,-15.033503634978459,-15
0.4545454545454546,-14.545914027233609,-15
0.4747474747474749,-13.997844142533122,-14
0.49494949494949503,-13.383434139125157,-13
0.5151515151515154,-12.696514993474059,-13
0.5353535353535355,-11.93059840551755,-12
0.5555555555555556,-11.078866703923858,-11
0.5757575757575759,-10.13416275134888,-10
0.595959595959596,-9.088979849693374,-9
0.6161616161616164,-7.935451645360047,-8
0.6363636363636365,-6.6653420345108,-7
0.6565656565656568,-5.270035068323779,-5
0.6767676767676769,-3.740524858250664,-4
0.696969696969697,-2.0674054812736884,-2
0.7171717171717173,-0.24086088516285997,0
0.7373737373737375,1.7493452062668204,2
0.7575757575757578,3.9138793878983407,4
0.7777777777777779,6.26384866805536,6
0.7979797979797982,8.810810563245234,9
0.8181818181818183,11.566783192901653,12
0.8383838383838385,14.544255374127673,15
0.8585858585858588,17.75619671643846,18
0.8787878787878789,21.216067716504114,21
0.8989898989898992,24.937829852892605,25
0.9191919191919193,28.935955680812455,29
0.9393939393939394,33.225438926855816,33
0.9595959595959598,37.82180458374115,38
0.9797979797979799,42.741119005055985,43
1.0,48.0,45
